date,end_index,beta0,beta1,s_topo,raw_level,calibrated_level,beta0_z,s_topo_drop,avg_corr,avg_vol,drivers,explanation
2007-03-30,59,6,389,4.342969,red,green,-1.054,0.000,0.474263,0.010936,,beta0 > 2: economic manifold splits into multiple islands
2007-04-02,60,6,389,4.342969,red,green,-1.054,0.000,0.477937,0.010896,xom:0.000678;jnj:0.000538;aapl:0.000384,beta0 > 2: economic manifold splits into multiple islands
2007-04-03,61,6,389,4.342969,red,green,-1.054,0.000,0.479867,0.010945,hd:0.000929;wmt:0.000500;gs:0.000480,beta0 > 2: economic manifold splits into multiple islands
2007-04-04,62,6,389,4.087501,red,green,-1.054,0.040,0.479083,0.010953,gs:0.000689;msft:0.000491;hd:0.000457,beta0 > 2: economic manifold splits into multiple islands
2007-04-05,63,7,390,4.320952,red,green,-0.325,0.000,0.486068,0.010771,aapl:0.004104;mcd:0.000283;ibm:0.000264,beta0 > 2: economic manifold splits into multiple islands
2007-04-09,64,7,390,4.320952,red,green,-0.325,0.000,0.491039,0.010665,aapl:0.001977;pep:0.000437;gs:0.000412,beta0 > 2: economic manifold splits into multiple islands
2007-04-10,65,8,391,4.051655,red,green,0.405,0.048,0.491927,0.010598,msft:0.001509;gs:0.000444;c:0.000439,beta0 > 2: economic manifold splits into multiple islands
2007-04-11,66,7,390,4.320952,red,green,-0.325,0.000,0.495996,0.010602,xom:0.000827;msft:0.000615;wmt:0.000476,beta0 > 2: economic manifold splits into multiple islands
2007-04-12,67,8,391,4.304883,red,green,0.405,0.000,0.496638,0.010582,aapl:0.000842;xom:0.000510;msft:0.000473,beta0 > 2: economic manifold splits into multiple islands
2007-04-13,68,7,390,4.320952,red,green,-0.325,0.000,0.495535,0.010597,mcd:0.000585;pg:0.000305;xom:0.000266,beta0 > 2: economic manifold splits into multiple islands
2007-04-16,69,6,389,4.342969,red,green,-1.054,0.000,0.515471,0.010596,aapl:0.003116;gs:0.001484;c:0.000898,beta0 > 2: economic manifold splits into multiple islands
2007-04-17,70,6,389,4.342969,red,green,-1.054,0.000,0.521783,0.010626,ibm:0.001629;jnj:0.001230;ge:0.001168,beta0 > 2: economic manifold splits into multiple islands
2007-04-18,71,7,390,4.066779,red,green,-0.325,0.045,0.514338,0.010665,jpm:0.001051;ibm:0.001014;aapl:0.000547,beta0 > 2: economic manifold splits into multiple islands
2007-04-19,72,7,390,4.320952,red,green,-0.325,0.000,0.515809,0.010651,xom:0.000770;bac:0.000389;jnj:0.000331,beta0 > 2: economic manifold splits into multiple islands
2007-04-20,73,7,390,4.320952,red,green,-0.325,0.000,0.517344,0.010674,gs:0.001046;xom:0.001015;wmt:0.000659,beta0 > 2: economic manifold splits into multiple islands
